#curie_map:
#  FLUXO: "http://purl.obolibrary.org/obo/FLUXO_"
#  PATO: "http://purl.obolibrary.org/obo/PATO_"
#  MSIO: "http://purl.obolibrary.org/obo/MSIO_"
#  CHEBI: "http://purl.obolibrary.org/obo/CHEBI_"
#  NCIT: "http://purl.obolibrary.org/obo/NCIT_"
#  EDAM: "http://edamontology.org/"
#  uniprot: "http://purl.uniprot.org/core/"
#  OBI: "http://purl.obolibrary.org/obo/OBI_"
#  CHMO: "http://purl.obolibrary.org/obo/CHMO_"
#  STATO: "http://purl.obolibrary.org/obo/STATO_"
#  SBO: "http://biomodels.net/SBO/SBO_"
#  UO: "http://purl.obolibrary.org/obo/UO_"
#  IAO: "http://purl.obolibrary.org/obo/IAO_"
#  PREFER: "http://purl.obolibrary.org/obo/PREFER_"
#  SIO: "http://semanticscience.org/resource/SIO_"
#  NMR: "http://nmrML.org/nmrCV#NMR:"
#  EFO: "http://www.ebi.ac.uk/efo/EFO_"
#  GO: "http://purl.obolibrary.org/obo/GO_"
#  foaf: "http://xmlns.com/foaf/0.1/"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  semapv: "https://w3id.org/semapv/vocab/"
#mapping_set_id: https://w3id.org/fluxo/mappings/fluxo
#mapping_set_version: 2026-07-01
#mapping_set_description: Cross-ontology mappings for the Metabolic Flux Analysis Ontology (FLUXO) to external ontologies and vocabularies.
#license: https://creativecommons.org/licenses/by/4.0/
#subject_type: owl class
#object_type: owl class
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
FLUXO:0000151	amount	skos:narrowMatch	PATO:0000070	amount	semapv:LexicalMatching
FLUXO:0000163	metabolite uptake flux	skos:exactMatch	MSIO:0000153	metabolite uptake flux	semapv:LexicalMatching
FLUXO:0000164	metabolite excretion flux	skos:exactMatch	MSIO:0000152	metabolite excretion flux	semapv:LexicalMatching
FLUXO:0000166	chemical reaction	skos:exactMatch	MSIO:0000001	chemical reaction	semapv:LexicalMatching
FLUXO:0000170	molecule	skos:exactMatch	CHEBI:25367	molecule	semapv:LexicalMatching
FLUXO:0000171	molecular entity	skos:exactMatch	CHEBI:23367	molecular entity	semapv:LexicalMatching
FLUXO:0000172	metabolite	skos:exactMatch	CHEBI:25212	metabolite	semapv:LexicalMatching
FLUXO:0000177	steady state	skos:closeMatch	NCIT:C151966	Steady-State	semapv:ManualMappingCuration
FLUXO:0000178	Experimental design and studies	skos:exactMatch	EDAM:topic_3678	Experimental design and studies	semapv:LexicalMatching
FLUXO:0000181	organism	skos:exactMatch	uniprot:organism	organism	semapv:LexicalMatching
FLUXO:0000182	strain	skos:exactMatch	uniprot:strain	strain	semapv:LexicalMatching
FLUXO:0000184	culture medium	skos:exactMatch	OBI:0000079	culture medium	semapv:LexicalMatching
FLUXO:0000186	mass spectrometer	skos:exactMatch	OBI:0000049	mass spectrometer	semapv:LexicalMatching
FLUXO:0000187	NMR instrument	skos:exactMatch	OBI:0000566	NMR instrument	semapv:LexicalMatching
